1) 0.0	: 19.64969602801709
440) 204.2140461171705	: 14.889144605185049
441) 204.67922617666292	: 16.13373149603616
442) 205.14440623615533	: 16.505870517945628
443) 205.60958629564777	: 15.275351050507007
444) 206.07476635514018	: 14.509467087355498
445) 206.5399464146326	: 16.76030756547032
446) 207.005126474125	: 13.605518734996366
447) 207.47030653361742	: 14.2731192981115
448) 207.93548659310983	: 14.228630706530648
449) 208.40066665260227	: 16.157021036359207
450) 208.86584671209468	: 15.86777582349716
451) 209.3310267715871	: 15.093781165914487
452) 209.7962068310795	: 14.624149900846202
453) 210.2613868905719	: 15.824566138885931
454) 210.72656695006432	: 15.29737162467427
455) 211.19174700955676	: 14.47295160341526
456) 211.65692706904917	: 13.931427711647634
457) 212.1221071285416	: 16.59267253076313
458) 212.587287188034	: 15.210267128200012
459) 213.0524672475264	: 14.061982930218864
460) 213.51764730701882	: 15.880298558436234
461) 213.98282736651126	: 15.572510612735815
462) 214.44800742600367	: 15.678521094788712
463) 214.91318748549608	: 17.072459973955453
464) 215.3783675449885	: 14.73938638687135
465) 215.8435476044809	: 15.158558985086287
466) 216.30872766397331	: 16.17395950753116
467) 216.77390772346575	: 14.675501025691977
468) 217.23908778295817	: 15.109703813433503
469) 217.70426784245058	: 15.812618216274805
470) 218.169447901943	: 15.285438923138406
471) 218.6346279614354	: 14.820565532581885
472) 219.0998080209278	: 14.410821703058312
473) 219.56498808042025	: 15.155991354904069
474) 220.03016813991266	: 14.209783772445821
475) 220.49534819940507	: 15.1403636823423
476) 220.96052825889748	: 16.147495352487574
477) 221.4257083183899	: 14.995216742178325
478) 221.8908883778823	: 16.244859220753586
479) 222.35606843737472	: 15.43928595399198
480) 222.82124849686716	: 14.425529701058093
481) 223.28642855635957	: 15.074202126650937
482) 223.75160861585198	: 15.900597089214335
483) 224.2167886753444	: 15.245796848096296
484) 224.6819687348368	: 14.804934551480738
485) 225.1471487943292	: 15.683218326483692
486) 225.61232885382165	: 14.865316489149189
487) 226.07750891331406	: 14.581477303355388
488) 226.54268897280647	: 16.930366058239986
489) 227.00786903229888	: 15.234114856355095
490) 227.4730490917913	: 14.62725049046106
491) 227.9382291512837	: 15.66766239256217
492) 228.40340921077615	: 15.133757744139768
493) 228.86858927026856	: 14.335569204121896
494) 229.33376932976097	: 14.243294732644497
495) 229.79894938925338	: 14.906989761153008
496) 230.2641294487458	: 14.173908897531092
497) 230.7293095082382	: 14.527791055761728
498) 231.19448956773064	: 14.529051776238186
499) 231.65966962722305	: 13.12831226954369
